seed,K,n,m,alpha,beta,G,price_term,fairness_term1,fairness_term2,objective,t,gap,status
0,2,5,5,0.0,0.0,0.08615887339874197,0.10084705412367417,8.262972754172931e-07,0.06598904942536943,0.0020340256650846537,2.4537689685821533,9.398439197100338e-05,optimal
0,2,5,5,0.25,0.25,0.04989841775378859,0.11314886871793009,6.946877575331991e-07,0.0272682966663238,0.0014661566500457231,2.207458019256592,9.950426504083925e-05,optimal
0,2,5,5,0.5,0.0,0.08637854275929484,0.10084729659967838,0.0,0.06620908343935916,0.0010170177231463501,2.3776321411132812,9.38049498081835e-05,optimal
0,2,5,5,0.0,0.5,0.041001885430360804,0.11990720876169789,6.905266633291242e-13,0.017020443677675967,0.0015826216227946097,1.485219955444336,7.861919247536808e-05,optimal
0,2,5,10,0.0,0.0,0.22170653581038346,0.8385655900811327,0.03858110298679064,0.03470286630076158,0.1406384497736237,60.00348496437073,0.018748807986401186,time_limit
0,2,5,10,0.25,0.25,0.1823581560970148,0.8391390121279513,0.019249024160255455,0.004905841591296811,0.07046776060432738,60.00383281707764,0.014866947911567131,time_limit
0,2,5,10,0.5,0.0,0.18753303775304173,0.8392467965125494,0.01759974836751427,0.01088380426677471,0.0705109563313076,60.00131797790527,0.0122080735874263,time_limit
0,2,5,10,0.0,0.5,0.1874755308000652,0.8391074450269493,0.026198336400212067,0.006554873594569299,0.07043161361388588,60.003138065338135,0.015539380465532836,time_limit
0,2,5,20,0.0,0.0,0.019051581318408024,0.030303409007939063,0.009235575704423597,0.008373111664608412,0.00018365931950048848,3.961353063583374,9.75268620084978e-05,optimal
0,2,5,20,0.25,0.25,0.01474254480599645,0.03100080672986584,0.009295753409234712,0.0038945067554059243,0.00011069817643788746,2.4394140243530273,2.424757166350289e-05,optimal
0,2,5,20,0.5,0.0,0.01919646766411257,0.030310377348275165,0.009214019920653585,0.008527382234130743,0.00011309643827403351,5.126975059509277,8.345315722029337e-05,optimal
0,2,5,20,0.0,0.5,0.013466099262235274,0.03148941197652153,0.00932848714580068,0.002503973294030626,0.00010229324779131907,2.579753875732422,0.0,optimal
0,2,10,5,0.0,0.0,0.21273877485587445,0.5956769519128261,0.047129635471469374,0.12960626192885716,0.035483103104015534,60.00082302093506,0.47384809698457664,time_limit
0,2,10,5,0.25,0.25,0.1257509863656182,0.6109722237746819,0.045963279926263215,0.04167212402501841,0.01936257227909563,60.00140595436096,0.5196837866580016,time_limit
0,2,10,5,0.5,0.0,0.2114371534696443,0.5957116905649341,0.04695334517316807,0.12838931182656688,0.018294775069524257,60.001981019973755,0.5101011830496526,time_limit
0,2,10,5,0.0,0.5,0.10960195072789175,0.6172104644509642,0.04583359138246499,0.02496410859156284,0.019359041230274418,60.00131607055664,0.5701375752200096,time_limit
0,2,10,10,0.0,0.0,0.07500199807300459,0.15223075497029698,0.013934701386416939,0.05281157188276642,0.0023174202758826598,60.00440692901611,0.027309964522635444,time_limit
